date,product,region,sales_amount,units_sold,customer_satisfaction,delivery_time_days,is_promotional
2023-01-01,Smartwatch,Central,1846.56,27,4.1,3,True
2023-01-02,Laptop,South,1620.94,9,3.7,2,False
2023-01-03,Smartwatch,West,537.61,38,4.7,6,True
2023-01-04,Smartphone,North,1023.11,36,3.1,4,True
2023-01-05,Smartphone,West,970.94,41,4.1,7,False
2023-01-06,Laptop,South,762.19,27,4.7,8,False
2023-01-07,Smartphone,East,1653.51,47,3.1,9,False
2023-01-08,Headphones,Central,307.6,26,3.6,7,True
2023-01-09,Smartphone,North,889.1,27,3.1,9,True
2023-01-10,Smartwatch,Central,913.26,4,4.2,4,False
2023-01-11,Smartwatch,Central,990.58,48,3.6,1,True
2023-01-12,Smartwatch,Central,1736.56,38,4.9,7,False
2023-01-13,Smartwatch,Central,514.52,12,4.2,2,False
2023-01-14,Headphones,South,295.55,47,4.1,9,False
2023-01-15,Tablet,Central,1273.84,15,4.8,6,False
2023-01-16,Laptop,Central,430.29,47,3.4,9,True
2023-01-17,Smartwatch,South,242.37,48,4.1,8,True
2023-01-18,Smartphone,West,910.63,30,4.1,9,False
2023-01-19,Smartwatch,South,517.33,14,3.2,7,False
2023-01-20,Smartphone,East,786.31,8,4.9,3,True
2023-01-21,Smartphone,South,593.45,28,4.4,5,True
2023-01-22,Smartwatch,West,276.01,31,4.8,3,False
2023-01-23,Headphones,East,1164.66,2,5.0,3,False
2023-01-24,Smartphone,East,151.33,15,4.0,7,True
2023-01-25,Smartphone,North,1936.11,40,4.6,6,True
2023-01-26,Smartwatch,Central,748.53,43,4.2,5,True
2023-01-27,Smartphone,East,1420.8,48,5.0,5,True
2023-01-28,Smartphone,East,1639.69,8,3.5,8,True
2023-01-29,Smartwatch,West,630.3,5,3.0,1,True
2023-01-30,Smartwatch,East,1522.6,4,3.4,4,True
2023-01-31,Laptop,West,1681.6,12,3.3,5,True
2023-02-01,Headphones,Central,558.5,10,3.9,9,False
2023-02-02,Headphones,North,1985.74,4,3.2,1,False
2023-02-03,Smartphone,North,139.31,10,3.4,9,True
2023-02-04,Headphones,Central,512.3,29,3.2,6,False
2023-02-05,Smartphone,Central,1582.04,28,4.0,3,True
2023-02-06,Laptop,South,468.85,29,3.5,3,True
